Name,ISIN,Symbol,Market,Currency
Buzzi S.p.A.,IT0001347308 ,BZU,MI,EUR
Thales S.A.,FR0000121329 ,HO,PA,EUR
Airbus SE,NL0000235190 ,AIR,PA,EUR
Leonardo S.p.A.,IT0003856405 ,LDO,MI,EUR
LVMH Moët Hennessy Louis Vuitton SE,FR0000121014 ,MC,PA,EUR
Unipol Gruppo S.p.A.,IT0004810054 ,UNI,MI,EUR
Assicurazioni Generali S.p.A.,IT0000062072 ,G,MI,EUR
Sanofi,FR0000120578,SAN,PA,EUR
Recordati S.p.A.,IT0003828271 ,REC,MI,EUR
L’Oréal S.A.,FR0000120321,OR,PA,EUR
Unilever PLC,GB00B10RZP78,UNA,AS,GBP
TotalEnergies SE,FR0000120271,TTE,PA,EUR
Koninklijke BAM Groep N.V.,NL0000337319 ,BAMNB,AS,EUR
UniCredit S.p.A.,IT0005239360 ,UCG,MI,EUR
Intesa Sanpaolo S.p.A.,IT0000072618 ,ISP,MI,EUR
ASML Holding N.V.,NL0010273215,ASML,AS,EUR
Davide Campari-Milano N.V.,NL0015435975 ,CPR,MI,EUR
Poste Italiane S.p.A.,IT0003796171 ,PST,MI,EUR
Tenaris S.A. (Milan listing),LU2598331598 ,TEN,MI,EUR
